2365.00,3,22,993.59,2.45
861.00,3,15,701.45,2.64
477.00,3,11,542.08,2.70
705.00,2,13,638.90,1.94
821.00,3,13,607.69,2.68
5239.00,4,29,1426.29,3.63
742.00,2,14,684.85,1.85
696.00,2,12,553.83,1.97
545.00,2,12,551.71,1.95
765.00,3,14,679.24,2.62
3322.00,3,24,1117.95,2.55
753.00,3,14,666.76,2.85
3289.00,5,30,1461.29,4.20
1261.00,3,15,718.73,2.64
672.00,3,12,553.54,2.72
1456.00,3,20,995.07,2.58
747.00,3,13,560.67,2.63
3701.00,4,25,1256.69,3.66
1009.00,3,16,752.69,2.62
821.00,3,15,661.67,2.61
565.00,3,11,520.01,2.55
1182.00,4,15,710.01,4.02
2640.00,3,27,1272.16,2.50
2126.00,4,25,1161.79,3.70
830.00,3,14,622.44,2.65
2405.00,3,20,946.73,2.61
589.00,3,12,557.36,2.62
841.00,3,14,671.76,2.64
1273.00,3,18,733.84,2.63
2531.00,4,25,1190.21,3.58
1795.00,2,21,1001.42,1.91
921.00,2,16,710.08,1.96
681.00,2,13,651.14,1.85
1439.00,3,15,729.42,2.53
5583.00,4,36,1704.98,3.71
896.00,3,16,702.78,2.61
959.00,2,15,723.46,1.88
1339.00,2,20,880.91,1.87
2157.00,3,23,1083.83,2.60
12229.00,5,47,2265.10,3.99
4099.00,8,31,1337.97,6.31
496.00,3,11,529.44,2.60
565.00,2,12,564.02,1.86
669.00,2,12,554.90,1.85
4111.00,3,33,1497.49,2.56
622.00,4,13,530.68,3.68
585.00,4,12,573.47,3.63
3634.00,5,30,1335.38,4.12
888.00,3,15,718.36,2.60
4476.00,4,35,1628.80,3.61
883.00,2,15,747.13,1.92
536.00,4,12,540.60,3.78
955.00,2,15,675.13,1.91
556.00,3,12,577.04,2.57
473.00,2,11,548.75,1.82
589.00,2,11,533.72,1.88
1170.00,3,17,733.28,2.51
763.00,3,13,608.81,2.61
983.00,3,16,737.08,2.56
1100.00,2,17,771.27,1.76
3884.00,4,33,1533.71,3.61
4554.00,3,33,1581.02,2.46
1885.00,3,22,1103.70,2.51
6654.00,4,39,1841.77,3.55
969.00,3,14,680.77,2.50
579.00,2,12,567.80,1.88
2419.00,2,21,1046.22,1.73
612.00,2,13,601.18,1.88
6609.00,4,44,2062.49,3.45
1042.00,3,14,656.01,2.59
878.00,4,15,705.37,3.64
464.00,2,11,532.71,1.95
3505.00,3,32,1449.70,2.37
1110.00,2,16,689.15,1.89
734.00,2,14,674.94,1.95
752.00,2,13,604.94,1.81
4948.00,4,31,1506.29,3.59
5430.00,4,37,1764.18,3.52
3684.00,3,27,1282.34,2.53
811.00,2,15,704.52,1.81
1018.00,4,16,768.75,3.76
1184.00,3,17,845.25,2.42
2583.00,3,26,1202.33,2.59
1053.00,3,16,706.33,2.49
1860.00,3,20,939.40,2.57
669.00,4,13,600.20,3.77
1227.00,3,16,793.88,2.54
787.00,2,13,601.52,1.94
2587.00,3,28,1366.95,2.53
1676.00,2,19,837.59,1.80
1299.00,2,19,790.59,1.87
1106.00,3,17,772.62,2.54
472.00,2,11,549.19,1.97
1949.00,3,22,1048.10,2.57
1146.00,3,17,727.95,2.55
1234.00,4,17,783.77,3.60
621.00,3,13,589.59,2.34
1049.00,2,15,728.01,1.92
3899.00,3,29,1320.38,2.51
5834.00,3,34,1583.10,2.56
